input_num, hidden_num, output_num
2, 2, 1
loss, test_index, input_num(0,1),hidden_num(0,1),output_num(0)
,0,0.000,0.000,0.000,0.000,0.000
2.389e-01,1,0.000,1.000,0.002,0.068,0.986
2.418e-01,2,1.000,0.000,0.000,1.000,0.038
2.397e-01,3,1.000,1.000,0.000,1.000,0.060
2.466e-01,0,0.000,0.000,0.001,0.990,0.011
2.441e-01,1,0.000,1.000,0.001,0.079,0.992
2.626e-01,2,1.000,0.000,0.000,1.000,0.007
2.446e-01,3,1.000,1.000,0.000,1.000,0.033
2.387e-01,0,0.000,0.000,0.000,0.994,0.070
2.551e-01,1,0.000,1.000,0.001,0.092,0.989
2.576e-01,2,1.000,0.000,0.000,1.000,0.009
2.467e-01,3,1.000,1.000,0.000,1.000,0.010
2.406e-01,0,0.000,0.000,0.000,0.996,0.055
2.459e-01,1,0.000,1.000,0.000,0.098,0.991
2.541e-01,2,1.000,0.000,0.000,1.000,0.013
2.405e-01,3,1.000,1.000,0.000,1.000,0.053
2.444e-01,0,0.000,0.000,0.000,0.997,0.021
2.397e-01,1,0.000,1.000,0.000,0.099,0.997
2.460e-01,2,1.000,0.000,0.000,1.000,0.012
2.449e-01,3,1.000,1.000,0.000,1.000,0.017
2.396e-01,0,0.000,0.000,0.000,0.997,0.058
2.443e-01,1,0.000,1.000,0.000,0.099,0.995
2.414e-01,2,1.000,0.000,0.000,1.000,0.040
2.386e-01,3,1.000,1.000,0.000,1.000,0.068
2.392e-01,0,0.000,0.000,0.000,0.998,0.062
2.392e-01,1,0.000,1.000,0.000,0.098,0.998
2.457e-01,2,1.000,0.000,0.000,1.000,0.013
2.449e-01,3,1.000,1.000,0.000,1.000,0.017
2.445e-01,0,0.000,0.000,0.000,0.998,0.019
2.455e-01,1,0.000,1.000,0.000,0.102,0.996
2.387e-01,2,1.000,0.000,0.000,1.000,0.067
2.605e-01,3,1.000,1.000,0.000,1.000,0.008
2.586e-01,0,0.000,0.000,0.000,0.998,0.009
2.454e-01,1,0.000,1.000,0.000,0.101,0.997
2.466e-01,2,1.000,0.000,0.000,1.000,0.010
2.463e-01,3,1.000,1.000,0.000,1.000,0.011
2.543e-01,0,0.000,0.000,0.000,0.998,0.013
2.417e-01,1,0.000,1.000,0.000,0.104,0.997
2.386e-01,2,1.000,0.000,0.000,1.000,0.067
2.450e-01,3,1.000,1.000,0.000,1.000,0.017
2.473e-01,0,0.000,0.000,0.001,0.999,0.007
2.449e-01,1,0.000,1.000,0.000,0.099,0.996
2.473e-01,2,1.000,0.000,0.000,1.000,0.007
2.386e-01,3,1.000,1.000,0.000,1.000,0.068
2.451e-01,0,0.000,0.000,0.001,0.999,0.017
2.473e-01,1,0.000,1.000,0.000,0.092,0.995
2.386e-01,2,1.000,0.000,0.000,1.000,0.068
2.451e-01,3,1.000,1.000,0.000,1.000,0.016
2.473e-01,0,0.000,0.000,0.001,0.999,0.007
2.386e-01,1,0.000,1.000,0.000,0.091,0.999
2.451e-01,2,1.000,0.000,0.000,1.000,0.016
2.473e-01,3,1.000,1.000,0.000,1.000,0.007
2.385e-01,0,0.000,0.000,0.001,0.999,0.069
2.425e-01,1,0.000,1.000,0.000,0.094,0.998
5.000e-01,2,1.000,0.000,1.000,1.000,1.000
